,alcaldia,longitud,latitud,alcaldia_id,año
383,Azcapotzalco,-99.189152,19.4952,002,2020
384,Azcapotzalco,-99.178107,19.495225,002,2020
385,Azcapotzalco,-99.187613,19.49056,002,2020
386,Azcapotzalco,-99.207603,19.474684,002,2020
387,Azcapotzalco,-99.219501,19.478418,002,2020
388,Azcapotzalco,-99.214843,19.492644,002,2020
389,Azcapotzalco,-99.218952,19.478558,002,2020
390,Azcapotzalco,-99.211867,19.479441,002,2020
391,Azcapotzalco,-99.215499,19.476051,002,2020
392,Azcapotzalco,-99.219452,19.478767,002,2020
393,Azcapotzalco,-99.203462,19.508123,002,2020
394,Azcapotzalco,-99.158147,19.488545,002,2020
395,Azcapotzalco,-99.203481,19.487535,002,2020
396,Azcapotzalco,-99.154343,19.470667,002,2020
397,Azcapotzalco,-99.218347,19.481552,002,2020
398,Azcapotzalco,-99.215522,19.476205,002,2020
399,Azcapotzalco,-99.188573,19.487498,002,2020
400,Azcapotzalco,-99.193996,19.496977,002,2020
401,Azcapotzalco,-99.196448,19.475196,002,2020
402,Azcapotzalco,-99.205695,19.483303,002,2020
403,Azcapotzalco,-99.209067,19.492661,002,2020
404,Azcapotzalco,-99.174575,19.506455,002,2020
405,Azcapotzalco,-99.175444,19.505405,002,2020
406,Azcapotzalco,-99.216314,19.483967,002,2020
407,Azcapotzalco,-99.187737,19.496334,002,2020
408,Azcapotzalco,-99.187217,19.496181,002,2020
409,Azcapotzalco,-99.179344,19.496794,002,2020
410,Azcapotzalco,-99.200209,19.500596,002,2020
411,Azcapotzalco,-99.188904,19.49918,002,2020
412,Azcapotzalco,-99.218963,19.479591,002,2020
413,Azcapotzalco,-99.186706,19.49106,002,2020
414,Azcapotzalco,-99.182679,19.493485,002,2020
415,Azcapotzalco,-99.217405,19.477647,002,2020
416,Azcapotzalco,-99.14854,19.46843,002,2020
417,Azcapotzalco,-99.148531,19.468447,002,2020
418,Azcapotzalco,-99.214606,19.479202,002,2020
419,Azcapotzalco,-99.185736,19.489021,002,2020
420,Azcapotzalco,-99.209494,19.482757,002,2020
421,Azcapotzalco,-99.188922,19.487562,002,2020
422,Azcapotzalco,-99.148787,19.467753,002,2020
423,Azcapotzalco,-99.148787,19.467753,002,2020
424,Azcapotzalco,-99.203844,19.477575,002,2020
425,Azcapotzalco,-99.186925,19.492395,002,2020
426,Azcapotzalco,-99.180539,19.490888,002,2020
427,Azcapotzalco,-99.18897,19.494423,002,2020
428,Azcapotzalco,-99.189963,19.494049,002,2020
429,Azcapotzalco,-99.193195,19.493401,002,2020
430,Azcapotzalco,-99.209934,19.477854,002,2020
431,Azcapotzalco,-99.155453,19.470577,002,2020
432,Azcapotzalco,-99.172499,19.484434,002,2020
433,Azcapotzalco,-99.155459,19.481417,002,2020
434,Azcapotzalco,-99.15168,19.479254,002,2020
435,Azcapotzalco,-99.207326,19.510037,002,2020
436,Azcapotzalco,-99.15468,19.481199,002,2020
437,Azcapotzalco,-99.154725,19.481074,002,2020
438,Azcapotzalco,-99.176398,19.492595,002,2020
439,Azcapotzalco,-99.202031,19.505111,002,2020
440,Azcapotzalco,-99.201776,19.504954,002,2020
441,Azcapotzalco,-99.178187,19.495917,002,2020
442,Azcapotzalco,-99.207856,19.472717,002,2020
443,Azcapotzalco,-99.202683,19.508704,002,2020
444,Azcapotzalco,-99.175621,19.505039,002,2020
445,Azcapotzalco,-99.178622,19.492046,002,2020
446,Azcapotzalco,-99.177568,19.480834,002,2020
447,Azcapotzalco,-99.192943,19.486242,002,2020
448,Azcapotzalco,-99.180525,19.479525,002,2020
449,Azcapotzalco,-99.184337,19.474865,002,2020
450,Azcapotzalco,-99.17742,19.494961,002,2020
451,Azcapotzalco,-99.17742,19.494961,002,2020
452,Azcapotzalco,-99.196689,19.498796,002,2020
453,Azcapotzalco,-99.192355,19.499029,002,2020
454,Azcapotzalco,-99.18889,19.487608,002,2020
455,Azcapotzalco,-99.189977,19.493987,002,2020
456,Azcapotzalco,-99.190227,19.494049,002,2020
457,Azcapotzalco,-99.189482,19.493826,002,2020
458,Azcapotzalco,-99.186593,19.489087,002,2020
459,Azcapotzalco,-99.189025,19.487449,002,2020
460,Azcapotzalco,-99.191137,19.493127,002,2020
461,Azcapotzalco,-99.191131,19.493081,002,2020
462,Azcapotzalco,-99.188275,19.486955,002,2020
463,Azcapotzalco,-99.186481,19.49055,002,2020
464,Azcapotzalco,-99.186429,19.487668,002,2020
465,Azcapotzalco,-99.186264,19.486137,002,2020
466,Azcapotzalco,-99.190114,19.494065,002,2020
467,Azcapotzalco,-99.191222,19.492828,002,2020
468,Azcapotzalco,-99.186593,19.489102,002,2020
469,Azcapotzalco,-99.188077,19.493669,002,2020
470,Azcapotzalco,-99.176739,19.48614,002,2020
471,Azcapotzalco,-99.18707,19.491107,002,2020
472,Azcapotzalco,-99.17847,19.485773,002,2020
473,Azcapotzalco,-99.18838,19.48696,002,2020
474,Azcapotzalco,-99.18649,19.49053,002,2020
475,Azcapotzalco,-99.17796,19.48417,002,2020
476,Azcapotzalco,-99.1846,19.49128,002,2020
477,Azcapotzalco,-99.17805,19.48563,002,2020
