,alcaldia,latitud,longitud,alcaldia_id,año
285,Milpa Alta,19.195706,-99.088566,9,2022
286,Milpa Alta,19.181133,-99.006826,9,2022
287,Milpa Alta,19.19619,-99.089039,9,2022
288,Milpa Alta,19.170573,-99.000624,9,2022
289,Milpa Alta,19.178008,-99.002619,9,2022
290,Milpa Alta,19.181127,-99.006422,9,2022
291,Milpa Alta,19.195624,-99.003769,9,2022
292,Milpa Alta,19.182315,-99.000763,9,2022
293,Milpa Alta,19.19319,-99.002426,9,2022
294,Milpa Alta,19.195333,-99.000922,9,2022
295,Milpa Alta,19.169117,-98.992078,9,2022
296,Milpa Alta,19.199885,-99.05237,9,2022
297,Milpa Alta,19.195987,-99.005026,9,2022
298,Milpa Alta,19.174356,-98.995797,9,2022
299,Milpa Alta,19.191843,-99.093721,9,2022
300,Milpa Alta,19.193885,-99.005465,9,2022
301,Milpa Alta,19.186391,-98.996321,9,2022
302,Milpa Alta,19.195785,-99.04814,9,2022
303,Milpa Alta,19.187699,-98.993463,9,2022
304,Milpa Alta,19.173057,-98.998111,9,2022
305,Milpa Alta,19.195951,-99.006677,9,2022
306,Milpa Alta,19.172567,-98.998927,9,2022
307,Milpa Alta,19.207498,-99.070776,9,2022
308,Milpa Alta,19.190693,-98.996649,9,2022
309,Milpa Alta,19.193709,-99.004582,9,2022
310,Milpa Alta,19.196161,-99.000502,9,2022
311,Milpa Alta,19.198758,-99.045919,9,2022
312,Milpa Alta,19.175038,-98.998904,9,2022
313,Milpa Alta,19.195123,-99.000628,9,2022
314,Milpa Alta,19.173428,-99.000661,9,2022
315,Milpa Alta,19.195982,-99.088999,9,2022
316,Milpa Alta,19.202481,-99.045268,9,2022
317,Milpa Alta,19.195483,-99.088251,9,2022
318,Milpa Alta,19.173933,-98.999517,9,2022
319,Milpa Alta,19.192888,-99.005776,9,2022
320,Milpa Alta,19.195767,-99.087312,9,2022
321,Milpa Alta,19.192185,-99.093437,9,2022
322,Milpa Alta,19.188313,-98.998163,9,2022
323,Milpa Alta,19.171738,-98.99991,9,2022
324,Milpa Alta,19.188697,-99.094068,9,2022
325,Milpa Alta,19.194273,-99.003323,9,2022
326,Milpa Alta,19.177907,-99.031638,9,2022
327,Milpa Alta,19.169449,-98.994408,9,2022
328,Milpa Alta,19.19012,-99.09363,9,2022
329,Milpa Alta,19.169745,-98.991371,9,2022
330,Milpa Alta,19.188602,-98.994937,9,2022
331,Milpa Alta,19.170598,-98.99394,9,2022
332,Milpa Alta,19.169117,-98.993117,9,2022
333,Milpa Alta,19.200111,-99.046176,9,2022
334,Milpa Alta,19.193098,-99.007171,9,2022
335,Milpa Alta,19.173041,-98.996997,9,2022
336,Milpa Alta,19.192985,-99.007171,9,2022
337,Milpa Alta,19.190271,-99.093572,9,2022
338,Milpa Alta,19.168136,-98.991539,9,2022
339,Milpa Alta,19.193695,-99.005459,9,2022
340,Milpa Alta,19.200375,-99.046088,9,2022
341,Milpa Alta,19.191594,-99.089313,9,2022
342,Milpa Alta,19.168373,-98.991973,9,2022
343,Milpa Alta,19.195185,-99.087481,9,2022
344,Milpa Alta,19.170993,-98.993982,9,2022
345,Milpa Alta,19.201091,-99.055077,9,2022
346,Milpa Alta,19.169938,-98.99282,9,2022
347,Milpa Alta,19.203485,-99.050312,9,2022
348,Milpa Alta,19.169706,-98.995017,9,2022
349,Milpa Alta,19.191726,-99.09368,9,2022
